seed_id,view,image,label
00000,top,train/00000.png,broken
00001,bottom,train/00001.png,pure
00003,top,train/00003.png,broken
00004,top,train/00004.png,pure
00005,top,train/00005.png,discolored
00006,top,train/00006.png,pure
00007,bottom,train/00007.png,discolored
00008,bottom,train/00008.png,broken
00009,bottom,train/00009.png,discolored
00010,bottom,train/00010.png,broken
00012,bottom,train/00012.png,broken
00014,bottom,train/00014.png,silkcut
00015,bottom,train/00015.png,pure
00016,top,train/00016.png,broken
00017,bottom,train/00017.png,pure
00018,top,train/00018.png,discolored
00020,top,train/00020.png,broken
00021,bottom,train/00021.png,pure
00022,top,train/00022.png,broken
00023,top,train/00023.png,pure
00024,top,train/00024.png,broken
00025,top,train/00025.png,broken
00026,bottom,train/00026.png,broken
00028,top,train/00028.png,broken
00029,top,train/00029.png,pure
00031,bottom,train/00031.png,broken
00033,top,train/00033.png,pure
00034,bottom,train/00034.png,pure
00035,top,train/00035.png,pure
00036,bottom,train/00036.png,pure
00037,bottom,train/00037.png,broken
00038,top,train/00038.png,pure
00039,bottom,train/00039.png,broken
00040,top,train/00040.png,broken
00046,top,train/00046.png,broken
00047,bottom,train/00047.png,silkcut
00048,top,train/00048.png,discolored
00049,bottom,train/00049.png,broken
00050,top,train/00050.png,broken
00051,bottom,train/00051.png,broken
00052,bottom,train/00052.png,pure
00054,bottom,train/00054.png,broken
00055,top,train/00055.png,pure
00056,bottom,train/00056.png,broken
00058,top,train/00058.png,pure
00059,top,train/00059.png,broken
00060,bottom,train/00060.png,silkcut
00061,top,train/00061.png,pure
00062,bottom,train/00062.png,pure
00063,top,train/00063.png,broken
00064,top,train/00064.png,discolored
00065,bottom,train/00065.png,broken
00066,bottom,train/00066.png,discolored
00067,bottom,train/00067.png,discolored
00068,top,train/00068.png,broken
00069,bottom,train/00069.png,silkcut
00070,bottom,train/00070.png,discolored
00071,top,train/00071.png,broken
00072,top,train/00072.png,discolored
00073,bottom,train/00073.png,silkcut
00076,bottom,train/00076.png,silkcut
00077,top,train/00077.png,broken
00078,top,train/00078.png,discolored
00080,bottom,train/00080.png,broken
00081,top,train/00081.png,broken
00082,top,train/00082.png,broken
00083,top,train/00083.png,silkcut
00084,top,train/00084.png,broken
